Date;title;category;account;amount;type;;;;;;;
01/07/2024;Printouts;Bills & Fees;Cash;42000;EXPENSE;;;;;;;
30/06/2024;Biryani 🍚;Food & Drinks;Savings Bank;520000;EXPENSE;;;;;;;
30/06/2024;Breakfast;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;
30/06/2024;Baba;Bills & Fees;Savings Bank;35000;EXPENSE;;;;;;;
30/06/2024;Adjust balance;Transport;Savings Bank;71000;INCOME;;;;;;;
29/06/2024;Juice;Food & Drinks;Cash;20000;EXPENSE;;;;;;;
29/06/2024;Cab;Transport;Cash;180000;EXPENSE;;;;;;;
29/06/2024;Snacks;Food & Drinks;Cash;30000;EXPENSE;;;;;;;
29/06/2024;Chai;Food & Drinks;Cash;20000;EXPENSE;;;;;;;
29/06/2024;Recharge;Bills & Fees;Savings Bank;266900;EXPENSE;;;;;;;
28/06/2024;Curd;Food & Drinks;Cash;25000;EXPENSE;;;;;;;
28/06/2024;Adjust balance;Transport;Cash;30000;EXPENSE;;;;;;;
28/06/2024;Tea;Food & Drinks;Cash;10000;EXPENSE;;;;;;;
28/06/2024;Water;Food & Drinks;Cash;10000;EXPENSE;;;;;;;
28/06/2024;Adjust balance;Transport;Cash;358000;EXPENSE;;;;;;;
27/06/2024;Water;Food & Drinks;Cash;40000;EXPENSE;;;;;;;
27/06/2024;Bus;Transport;Cash;20000;EXPENSE;;;;;;;
27/06/2024;Metro;Transport;Cash;20000;EXPENSE;;;;;;;
27/06/2024;Haldiram;Food & Drinks;Cash;207000;EXPENSE;;;;;;;
27/06/2024;Tickets victoria;Bills & Fees;Cash;100000;EXPENSE;;;;;;;
27/06/2024;Lunch;Food & Drinks;Cash;95000;EXPENSE;;;;;;;
27/06/2024;Ferry;Transport;Cash;50000;EXPENSE;;;;;;;
27/06/2024;Baba;Bills & Fees;Cash;500000;EXPENSE;;;;;;;
27/06/2024;Museum;Bills & Fees;Savings Bank;150000;EXPENSE;;;;;;;
27/06/2024;Bus;Transport;Cash;20000;EXPENSE;;;;;;;
27/06/2024;Metro;Transport;Salary Bank;10000;EXPENSE;;;;;;;
27/06/2024;Grocery;Bills & Fees;Cash;200000;EXPENSE;;;;;;;
27/06/2024;Withdraw;Bills & Fees;Salary Bank;0;TRANSFER;;;;;;;
26/06/2024;Cab;Transport;Salary Bank;200000;EXPENSE;;;;;;;00d8e305-4141-4188-81e9-32a191ccaf68
26/06/2024;Train;Transport;Salary Bank;20000;EXPENSE;;;;;;;b1438c76-e86d-49e6-b6c8-aa9a01b721f8
24/06/2024;Tickets;Bills & Fees;Salary Bank;20000;EXPENSE;;;;;;;4d633abc-5c86-4813-a93a-39cfd53b7dbe
23/06/2024;Maa stuff;Bills & Fees;Salary Bank;240000;EXPENSE;;;;;;;4a0333b6-e068-439e-a9b7-fb09b8571130
23/06/2024;Toto;Transport;Salary Bank;20000;EXPENSE;;;;;;;38d13eb9-67dc-4e76-b32e-63764016b470
23/06/2024;Snacks;Food & Drinks;Salary Bank;70000;EXPENSE;;;;;;;c39e0b28-2498-4d06-b509-cf07381a9010
23/06/2024;Adjust balance;Transport;Salary Bank;102000;EXPENSE;;;;;;;d7a24953-5fcf-471b-ba8a-2b5b53989393
23/06/2024;Snacks;Food & Drinks;Salary Bank;44000;EXPENSE;;;;;;;6cb158ba-8edf-448b-b72d-2d644b11b090
23/06/2024;Shaka pola;Bills & Fees;Salary Bank;600000;EXPENSE;;;;;;;c692fa2a-cc2e-452c-9017-ec8b1f5d99dd
21/06/2024;Tickets;Transport;Salary Bank;40000;EXPENSE;;;;;;;7731b44a-90a9-490f-b0dc-32b1607174f7
20/06/2024;Adjust balance;Transport;Salary Bank;60000;EXPENSE;;;;;;;445dc212-caca-40e6-b82f-6202a34dfc4f
20/06/2024;Lunch;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;ba1ad731-ddb9-4b43-8dee-8c51f9eeca51
20/06/2024;Recharge;Bills & Fees;Salary Bank;259000;EXPENSE;;;;;;;02c4ef39-dc24-41c7-a661-9aabec8e2759
19/06/2024;Shave;Bills & Fees;Salary Bank;20000;EXPENSE;;;;;;;a615e949-d311-4d68-90e8-b7c3c185e3e2
17/06/2024;Water;Food & Drinks;Cash;20000;EXPENSE;;;;;;;a69d23ab-b64c-4433-bcd0-287150241428
17/06/2024;Tickets;Transport;Cash;260000;EXPENSE;;;;;;;a3648944-0536-4103-9b05-b1a2c10b97f0
17/06/2024;Water;Food & Drinks;Cash;20000;EXPENSE;;;;;;;ab6d1bd8-fca7-456f-891a-9c4d4b4cc200
17/06/2024;Ticket Refund;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;134b84d9-d069-4dc3-b3d8-2ad31a9914df
17/06/2024;Lunch;Food & Drinks;Salary Bank;250000;EXPENSE;;;;;;;7acd4795-7a52-40c1-b8c9-516b42b0ed75
17/06/2024;Adjust balance;Transport;Cash;120000;EXPENSE;;;;;;;76522f59-ef2e-418d-ae78-6ca7a400eb01
16/06/2024;Baba;Bills & Fees;Cash;500000;EXPENSE;;;;;;;0bc78b39-86a4-4563-aa48-601fb29d8c11
16/06/2024;Cab;Transport;Salary Bank;170000;EXPENSE;;;;;;;558a01e8-4b80-461e-ae4a-d8463cb918ac
16/06/2024;Snacks;Food & Drinks;Salary Bank;200000;EXPENSE;;;;;;;37d15a02-2d34-4653-9d59-b70a24fa53ed
16/06/2024;Chotu;Bills & Fees;Cash;500000;EXPENSE;;;;;;;b4c1f454-2b37-4ed5-8458-e86c0048b7ee
16/06/2024;Withdraw;Bills & Fees;Salary Bank;0;TRANSFER;INR;Cash;1,500.00;INR;;;2e1389f8-269b-431b-afd8-9de7c6ab74e0
16/06/2024;Tickets;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;fb0cf317-8075-4f05-adb6-c924435db5a3
15/06/2024;Baba;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;2572b1a9-bcb3-48e1-985d-c9fd31e71f6d
14/06/2024;Petrol;Transport;Cash;100000;EXPENSE;;;;;;;a1fe4f07-b2f4-4179-9fa5-410bc804607d
14/06/2024;Sriya payback;Bills & Fees;Cash;100000;INCOME;;;;;;;ecd7db96-ad5e-49ce-bc6c-907829cf806b
14/06/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;4228d945-c519-4c74-9c97-e9b1e1a1673c
13/06/2024;Snacks;Food & Drinks;Salary Bank;208500;EXPENSE;;;;;;;3bb28e6e-8680-4a2c-b19a-307f1d665e88
13/06/2024;Petrol;Transport;Salary Bank;200000;EXPENSE;;;;;;;7f2fbd7d-ebd8-40cc-b72e-ebf59781ac81
11/06/2024;Chips;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;ae884f4f-f532-4ba2-810e-7f40415b00c9
10/06/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;b85cd16c-5ced-4393-9bb7-4b2a599d850e
09/06/2024;Petrol;Transport;Salary Bank;200000;EXPENSE;;;;;;;062e59cb-5373-4791-a0ee-e499208deb1d
09/06/2024;Clothes;Bills & Fees;Salary Bank;799000;EXPENSE;;;;;;;4c221e0f-4ea9-45f1-95ac-048906819f10
09/06/2024;Snacks;Food & Drinks;Salary Bank;198880;EXPENSE;;;;;;;16773874-1f14-4c60-950e-c039a3814588
07/06/2024;Baba;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;05e0f471-b671-48cb-9a83-e9c2dce2cc8e
07/06/2024;Snacks;Food & Drinks;Salary Bank;90000;EXPENSE;;;;;;;efe635ab-b644-4d51-99cd-d8ffa76fcab9
07/06/2024;Sriya;Bills & Fees;Salary Bank;100000;EXPENSE;;;;;;;1ed370e7-b050-47c4-b24a-8dce1aea7e82
07/06/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;3cbef138-72cc-4820-a76f-c87b9a8cf165
07/06/2024;Karthik payback;Bills & Fees;Salary Bank;200000;INCOME;;;;;;;c05e6998-4ece-4c6e-9310-f51a58b922f5
07/06/2024;Karthik payback;Bills & Fees;Cash;100000;INCOME;;;;;;;aa5bcfad-c580-4a2b-b9a3-414df3804624
05/06/2024;Grocery;Bills & Fees;Salary Bank;175000;EXPENSE;;;;;;;e5e0b394-d70c-48bb-81da-363d85a81880
05/06/2024;Netflix;Bills & Fees;Savings Bank;200000;EXPENSE;;;;;;;bed7ee92-d044-4398-9b48-91b12308c2e8
05/06/2024;Settlement;Bills & Fees;Salary Bank;0;TRANSFER;INR;Savings Bank;2,175.00;INR;;;bba071ab-57fd-48d6-a653-d57d22977e46
05/06/2024;Salary;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;d7ab8a16-5521-4a7c-a62a-ad66e4f629ee
05/06/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;ecbb7610-76b5-4f3f-964f-abb01c486ec8
05/06/2024;Adjust balance;Transport;Cash;67000;EXPENSE;;;;;;;92182a4d-5c30-466d-9183-24297e618f26
05/06/2024;Chotu;Bills & Fees;Savings Bank;155000;EXPENSE;;;;;;;e4213549-3613-4058-96cc-933df529f820
05/06/2024;Adjust balance;Transport;Salary Bank;10000;EXPENSE;;;;;;;3c361c1b-5349-455d-84be-6689570b532a
05/06/2024;Netflix;Bills & Fees;Salary Bank;199000;EXPENSE;;;;;;;f9f55fad-e59f-4f00-8b37-3a82954424b4
05/06/2024;Netflix;Bills & Fees;Salary Bank;200000;INCOME;;;;;;;deb59219-cca3-4b90-8f77-c8e1f8aff192
05/06/2024;;Bills & Fees;Salary Bank;70000;INCOME;;;;;;;21ee236b-528a-4fdf-a663-c711785f40fe
04/06/2024;Baba;Bills & Fees;Salary Bank;200000;EXPENSE;;;;;;;2bfe2d14-db8a-45c2-9fa3-b1b78cc9210e
03/06/2024;Snacks;Food & Drinks;Cash;90000;EXPENSE;;;;;;;b12e0db0-9da4-49cb-999b-98357aff6dfb
03/06/2024;Goje;Bills & Fees;Savings Bank;300000;EXPENSE;;;;;;;8f3ae772-1551-44bc-b056-7f800f30cc54
03/06/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;02e1c2da-3f99-4fe3-96b3-68f968750013
31/05/2024;Biryani 🍚;Food & Drinks;Savings Bank;520000;EXPENSE;;;;;;;f0a1ca79-e8c3-4a46-bcdf-59c803eff53d
31/05/2024;Adjust balance;Transport;Salary Bank;54000;EXPENSE;;;;;;;1a7cd23f-49ee-4101-9858-012068855deb
31/05/2024;Juice;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;d06b82a1-977b-4e07-a56b-1e846157e695
31/05/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;6d43985c-2e33-4281-9bf8-0c8e6f9b260b
31/05/2024;Smthng;Bills & Fees;Cash;10000;EXPENSE;;;;;;;39f842d8-92d0-4108-bfae-5b3802a25523
30/05/2024;Pizza;Food & Drinks;Salary Bank;190000;EXPENSE;;;;;;;43ac317c-1fa9-4748-81c8-40cc674a196a
30/05/2024;Baba;Bills & Fees;Savings Bank;35000;EXPENSE;;;;;;;2be3b36d-cbf8-423c-b51c-55e7e999595b
29/05/2024;Snacks;Food & Drinks;Salary Bank;35000;EXPENSE;;;;;;;bb50734a-f6b8-47c4-a707-92b2be34aa3b
29/05/2024;Reward;Bills & Fees;Salary Bank;11000;INCOME;;;;;;;8dce71df-070d-47b8-92c9-2f617cabc9a0
29/05/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;ec50fd6d-7b75-4dd7-87d9-b95506f15c56
28/05/2024;Shirt;Bills & Fees;Salary Bank;160000;EXPENSE;;;;;;;4976a205-5563-43b6-817d-8840969592a2
28/05/2024;Bus;Transport;Cash;30000;EXPENSE;;;;;;;fcf6c72c-9988-482a-ba5f-f58b5c2f2bea
28/05/2024;Juice;Food & Drinks;Salary Bank;35000;EXPENSE;;;;;;;90e3f00f-96c4-425d-b28b-4b10e0d2a648
28/05/2024;Withdraw;Bills & Fees;Salary Bank;0;TRANSFER;INR;Cash;300;INR;;;3892857d-ffc3-4200-9612-aeb73ec09903
28/05/2024;Auto;Transport;Cash;20000;EXPENSE;;;;;;;d293f0c2-bf08-4d17-9ea0-7bb17d4d9855
27/05/2024;Recharge;Bills & Fees;Salary Bank;155000;EXPENSE;;;;;;;d52842dc-5f52-4f8f-a61c-807d355df654
27/05/2024;Chotu;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;586a29c2-b32c-4943-b3b1-798f025add1c
27/05/2024;Adjust balance;Transport;Salary Bank;56000;EXPENSE;;;;;;;b0dcb84a-92d4-4160-898d-fd4927da97e8
27/05/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;06c8760b-4e21-497b-a26f-9d24b0ba5e12
26/05/2024;Shampoo;Bills & Fees;Cash;4000;EXPENSE;;;;;;;4c6fb575-dfd3-4307-a9e7-f2bcefe4db4c
26/05/2024;Petrol;Bills & Fees;Salary Bank;250000;EXPENSE;;;;;;;1318d331-e052-4925-afca-32671034ad33
26/05/2024;Stationary;Bills & Fees;Salary Bank;20000;EXPENSE;;;;;;;1596fd8b-a723-446f-99da-8bc8f18cf435
25/05/2024;Ice cream;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;c7e0e490-9a26-4613-87e6-d01169bc50e0
25/05/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;f7b20515-5b20-4530-b5fa-10e3e6d51f6d
25/05/2024;Lunch;Food & Drinks;Salary Bank;70000;EXPENSE;;;;;;;a52ca5ed-eb3e-46ad-ba4b-075bbe43a4ad
25/05/2024;Auto;Transport;Salary Bank;20000;EXPENSE;;;;;;;eac3929c-ce7c-4188-9853-b75fad0935b6
24/05/2024;Bus;Transport;Cash;40000;EXPENSE;;;;;;;70767dbf-6508-4b71-b541-b12f4ed5fa08
24/05/2024;Auto;Transport;Salary Bank;20000;EXPENSE;;;;;;;a1e0a217-2509-4704-a89b-9a378d369ac6
24/05/2024;Juice;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;3ac3d8dc-837d-4775-90a0-c60397b82a62
24/05/2024;Printing;Bills & Fees;Salary Bank;555000;EXPENSE;;;;;;;111d7810-1d9c-4440-ad9a-b0a38aaa862e
23/05/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;11b63743-5dd4-4a12-af09-ed5adf96116f
21/05/2024;Recharge;Bills & Fees;Salary Bank;259000;EXPENSE;;;;;;;88f8fa2a-102f-400a-aab7-6f5a5cafdd04
21/05/2024;Internet;Bills & Fees;Salary Bank;470820;EXPENSE;;;;;;;f12182fe-8230-49b7-afc7-cf00fe33df1b
21/05/2024;Juice;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;83b46998-5170-4b50-a939-d364e991f5f3
21/05/2024;Brake;Bills & Fees;Salary Bank;50000;EXPENSE;;;;;;;f6d5fdfa-1155-425d-a5a8-358aa4fe8643
21/05/2024;Ice Cream;Food & Drinks;Salary Bank;35000;EXPENSE;;;;;;;cf6a35f0-18b0-40e1-b837-dd7022d96129
21/05/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;04706684-ba57-446b-8c30-74bc8dfbeff5
21/05/2024;Adjust balance;Transport;Cash;40000;EXPENSE;;;;;;;92bf81c0-a7b5-4a80-ac8d-2fd412a5d682
20/05/2024;Juice;Food & Drinks;Salary Bank;75000;EXPENSE;;;;;;;e688f069-4412-408c-a7ac-ff4c87ff875f
20/05/2024;Juice;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;be393797-8976-4b99-85a1-f9241f7e0e5a
19/05/2024;Tickets;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;89dc11da-bc16-4021-a23c-1d896ec460bd
19/05/2024;Tickets;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;20544f7f-8ec6-4895-8332-8be4ed11d66c
19/05/2024;Maggi;Food & Drinks;Salary Bank;14000;EXPENSE;;;;;;;a67511da-2ca2-4eff-a28b-a0bab482fe0f
17/05/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;a790edcc-dddd-4324-8e65-14b2d36ccedb
16/05/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;9ba7e97f-b449-4a7f-ba94-1cf126e962c1
15/05/2024;Juice;Food & Drinks;Salary Bank;130000;EXPENSE;;;;;;;6ee76b88-daa0-4ca0-872b-86910582ec99
15/05/2024;Shawarma 🌯;Food & Drinks;Salary Bank;220000;EXPENSE;;;;;;;7a04f85d-8ae6-48ea-872f-2e4e7d182d82
15/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;e244b224-73ea-4f20-b051-c6833048b121
15/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;a92ff9ec-45b8-401d-80da-77ff88d0412a
15/05/2024;AtR;Transport;Salary Bank;35000;EXPENSE;;;;;;;91e16f4f-635d-467b-8da1-ce284077e76f
14/05/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;a33a155b-ca7d-4562-a87f-89bc82696753
14/05/2024;Juice;Food & Drinks;Cash;10000;EXPENSE;;;;;;;312ea3c7-fd8d-40ee-bcf9-9ee382fb9e71
14/05/2024;Bus;Transport;Cash;20000;EXPENSE;;;;;;;19226009-98a4-4867-8cc7-7c441b3190ef
14/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;40420718-2e72-49f7-a0c1-eee663b5c35d
14/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;f688a5f5-29fc-429b-b1f1-58ae749df8cc
12/05/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;0ef25ffb-a3db-4ef1-8a8f-3446f87d961b
10/05/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;508ff447-c1e6-442e-b521-11f1a6909a23
10/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;4a4426b0-b4cf-4a10-b17a-af10098311c4
10/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;fd83b29f-45ca-4d74-b5aa-aea3f4e30014
09/05/2024;Screen;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;fa7ed52f-db05-417b-bea8-d197bdfe73e9
09/05/2024;Snacks;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;b4c52cef-c5ed-4413-a986-d631def38ae6
09/05/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;a49ad761-2d0c-4360-b0d1-919767fc5226
08/05/2024;Juice;Food & Drinks;Salary Bank;80000;EXPENSE;;;;;;;7a7da6a6-df34-4f87-8008-1f54b281da93
08/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;3e3f3638-f323-4934-8c0e-cc6f885a1678
08/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;3489e490-54a8-4aeb-9f0a-d312a10dd10a
08/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;a1f86aa7-540c-48a1-b730-522179275527
08/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;ec49d0e2-f60e-4572-bd2a-05c165a202dd
07/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;6beab6b5-8ad2-4405-8209-35d351371db4
07/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;82d6a6ae-0f2e-4741-89cc-d62ca760048a
07/05/2024;Shawarma 🌯;Food & Drinks;Salary Bank;120000;EXPENSE;;;;;;;224c5bd7-7ae2-4c34-bb10-7fe899c4dbff
07/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;32fb9d18-e584-45e4-9778-e884caf79cf9
06/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;e3e59dbc-4585-4794-968a-a25b74635ab8
06/05/2024;Petrol;Bills & Fees;Salary Bank;100000;EXPENSE;;;;;;;231b4928-e59b-4e37-8bc2-3cf110628c82
06/05/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;e86cd4ca-f861-4b84-bd21-d3924ca9d854
06/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;fbe815ee-f0f2-49b0-b6ad-f5bd54ffd06b
06/05/2024;Juice;Food & Drinks;Salary Bank;40000;EXPENSE;;;;;;;12c2ad26-a465-43d3-8cb1-1a08d842937a
06/05/2024;Lunch;Food & Drinks;Salary Bank;100000;EXPENSE;;;;;;;91969a70-3150-4b01-bc97-26e35c00f24b
06/05/2024;Adjust balance;Transport;Salary Bank;80000;INCOME;;;;;;;272a637e-935e-45cf-a151-f96dd5867530
06/05/2024;Adjust balance;Transport;Cash;30000;EXPENSE;;;;;;;a226c682-212e-43fa-8f28-bd562c86ca49
04/05/2024;Petrol;Transport;Salary Bank;200000;EXPENSE;;;;;;;8856e7fe-ea51-49fd-8e08-732a1029f759
04/05/2024;Medic;Bills & Fees;Salary Bank;20000;EXPENSE;;;;;;;93bf965f-fd3f-45ce-be3e-7f8acad23500
03/05/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;85c7287a-67c6-47a2-b09b-db10b1767c83
03/05/2024;Recharge;Bills & Fees;Salary Bank;266900;EXPENSE;;;;;;;c0350a6b-313c-40f9-96df-bc09d4ab1b21
03/05/2024;Petrol;Transport;Salary Bank;50000;EXPENSE;;;;;;;aefddc5a-45f9-428a-9562-660e5430e26c
02/05/2024;Exam Fees;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;c41d8549-50b7-4ed3-8c20-661c1aabe068
02/05/2024;Juice;Food & Drinks;Salary Bank;80000;EXPENSE;;;;;;;3bb50eca-d2f2-488a-96a0-2228fae10012
02/05/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;2bb8783b-91b4-41ed-9693-f602e0614575
02/05/2024;Auto;Transport;Cash;20000;EXPENSE;;;;;;;f3d8e0bf-93f8-4a14-8fc4-12a5cfb566ad
02/05/2024;Juice;Food & Drinks;Salary Bank;80000;EXPENSE;;;;;;;02201ad3-181f-4829-aab5-82ff49adabc1
02/05/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;89363752-fa3b-4bb3-b5bd-cf5f2fe78125
02/05/2024;Savings;Transport;Salary Bank;0;TRANSFER;INR;Savings Bank;2,000.00;INR;;;d5c5a778-77d0-427a-8a25-bea074464e1f
02/05/2024;Netflix;Bills & Fees;Salary Bank;199000;EXPENSE;;;;;;;cf4d2147-844b-4d8a-a53c-052fdc69cf08
02/05/2024;Baba;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;22f14513-6bf6-4c2a-8db2-e6bb0c2a44d2
01/05/2024;Adjust balance;Transport;Salary Bank;30000;EXPENSE;;;;;;;6511f107-793d-40c5-85d6-a25672fcd158
01/05/2024;Recharge;Bills & Fees;Salary Bank;155000;EXPENSE;;;;;;;88d1725a-bb66-435c-bbe0-4de70e749fc7
01/05/2024;Juice;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;f4f13756-1197-4ffe-9ae1-4e357666b7c8
01/05/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;bb0f7535-0a80-4c12-8776-954fdd0fd79e
01/05/2024;Withdraw;Transport;Salary Bank;0;TRANSFER;INR;Cash;300;INR;;;d676f96e-cc64-4cad-ae61-6ad50c6adcf1
01/05/2024;RtA;Transport;Cash;35000;EXPENSE;;;;;;;93e4b05a-c62e-4415-a0a2-d44b497fb11d
01/05/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;258ad797-30ea-4182-8954-5e2e62170dd8
01/05/2024;Water;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;39def290-90c7-4538-a84d-74736543a1f8
30/04/2024;Salary;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;2e7a54a6-8f1b-4132-bb0a-e1e1add888f0
30/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;223e59b5-7482-4071-b778-e48fef8a1a27
30/04/2024;AtR;Transport;Salary Bank;35000;EXPENSE;;;;;;;cfe9fe1d-5d66-4a57-b4bd-d4fecddecf35
30/04/2024;RtA;Transport;Salary Bank;35000;EXPENSE;;;;;;;e2738ea5-560b-470d-8f3d-dcf4f55bb6b5
30/04/2024;Juice;Food & Drinks;Salary Bank;90000;EXPENSE;;;;;;;6f203563-6af9-4e30-9213-362808479cba
29/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;241f2f9d-adec-4016-a54c-fb3f14b7c1b8
29/04/2024;RtA;Transport;Salary Bank;35000;EXPENSE;;;;;;;a6e443f4-424e-45b3-9dcd-66a35eb78bdf
29/04/2024;Adjust balance;Transport;Cash;80000;EXPENSE;;;;;;;2bf9e586-bf61-4630-8f8a-1264c4277cb7
